Subject	Language	AgeGroup	Group	Trial	ID	Type	SpatialRelation	TargetPic	ContrastPic	CompPic	DistrPic	Pic1Position	Pic2Position	Pic3Position	Pic4Position	TrialStartTime	PreviewTime	ArrowTime	VisualDisplayTime	NoiseDisplayTime	TrialEndTime	ReactionTime
210	4	1	1	78	50	FBI	behind	f_hat_ipad_behind.jpg	f_hat_ipad_front.jpg	f_hat_ipad_right.jpg	f_hat_ipad_on.jpg	6	8	7	9	883473	885489	886505	887038	889054	894113	5055
210	4	1	1	28	51	EN	right	n_moneybox_leaflong_right.jpg	n_moneybox_leaflong_front.jpg	n_moneybox_leaflong_on.jpg	n_moneybox_leaflong_in.jpg	7	6	9	8	894352	896368	897385	897918	899934	904470	4531
210	4	1	1	43	52	FC	in	f_foodbox_lid_in.jpg	f_foodbox_lid_left.jpg	f_foodbox_lid_right.jpg	f_foodbox_lid_behind.jpg	6	8	7	9	904715	906731	907748	908281	910297	915756	5455
210	4	1	1	84	53	FBE	behind	f_box_calculator_behind.jpg	f_box_calculator_front.jpg	f_box_calculator_on.jpg	f_box_calculator_in.jpg	7	6	9	8	915995	918011	919027	919560	921576	926285	4703
210	4	1	1	20	54	EN	right	n_vase_glove_right.jpg	n_vase_glove_front.jpg	n_vase_glove_on.jpg	n_vase_glove_in.jpg	9	6	7	8	926524	928540	929557	930090	932106	936509	4399
210	4	1	1	44	55	FC	front	f_foodbox_blueflag_front.jpg	f_foodbox_blueflag_left.jpg	f_foodbox_blueflag_right.jpg	f_foodbox_blueflag_in.jpg	6	8	9	7	936771	938787	939803	940336	942352	948531	6173
210	4	1	1	30	56	EN	left	n_basket_newspaper_left.jpg	n_basket_newspaper_front.jpg	n_basket_newspaper_in.jpg	n_basket_newspaper_on.jpg	9	8	6	7	948783	950799	951816	952349	954365	959317	4947
210	4	1	1	40	57	FC	on	f_tray_funnel_on.jpg	f_tray_funnel_left.jpg	f_tray_funnel_right.jpg	f_tray_funnel_behind.jpg	9	6	8	7	959563	961579	962595	963128	965144	971210	6061
210	4	1	1	69	58	FBI	on	f_paper_stamp_on.jpg	f_paper_stamp_right.jpg	f_paper_stamp_behind.jpg	f_paper_stamp_front.jpg	9	6	7	8	971442	973458	974474	975007	977023	981459	4430
210	4	1	1	17	59	EC	right	c_basket_ladle1plastic_right.jpg	c_basket_ladle1plastic_left.jpg	c_basket_ladle1plastic_behind.jpg	c_basket_ladle1plastic_on.jpg	8	9	7	6	981705	983721	984737	985270	987286	993746	6457
210	4	1	1	41	60	FC	front	f_paper_cap_front.jpg	f_paper_cap_left.jpg	f_paper_cap_right.jpg	f_paper_cap_on.jpg	8	9	7	6	994001	996017	997033	997566	999582	1004670	5084
210	4	1	1	77	61	FBE	in	f_hat_shawl_in.jpg	f_hat_shawl_front.jpg	f_hat_shawl_behind.jpg	f_hat_shawl_on.jpg	8	6	7	9	1004914	1006930	1007946	1008479	1010495	1015351	4853
210	4	1	1	29	62	EN	left	n_moneybox_ribbon_left.jpg	n_moneybox_ribbon_behind.jpg	n_moneybox_ribbon_in.jpg	n_moneybox_ribbon_on.jpg	6	8	9	7	1015610	1017626	1018642	1019175	1021191	1026865	5670
210	4	1	1	48	63	FBE	behind	f_cookingpot_latch2red_behind.jpg	f_cookingpot_latch2red_front.jpg	f_cookingpot_latch2red_in.jpg	f_cookingpot_latch2red_on.jpg	6	7	8	9	1027122	1029138	1030155	1030688	1032704	1037918	5210
210	4	1	1	8	64	EC	right	c_bowl_bread_right.jpg	c_bowl_bread_left.jpg	c_bowl_bread_front.jpg	c_bowl_bread_in.jpg	7	6	9	8	1038152	1040168	1041184	1041717	1043733	1052525	8787
210	4	1	1	49	65	FN	behind	f_hat_tie1_behind.jpg	f_hat_tie1_in.jpg	f_hat_tie1_right.jpg	f_hat_tie1_on.jpg	9	8	7	6	1052763	1054779	1055796	1056329	1058345	1072178	13827
210	4	1	1	87	66	FBI	front	f_plate_tie2_front.jpg	f_plate_tie2_behind.jpg	f_plate_tie2_right.jpg	f_plate_tie2_in.jpg	8	6	9	7	1072423	1074439	1075456	1075989	1078005	1082437	4427
210	4	1	1	80	67	FN	front	f_mug_mirror_front.jpg	f_mug_mirror_left.jpg	f_mug_mirror_on.jpg	f_mug_mirror_in.jpg	7	9	8	6	1082670	1084686	1085702	1086235	1088251	1092794	4537
210	4	1	1	31	68	EN	right	n_basket_hammer_right.jpg	n_basket_hammer_behind.jpg	n_basket_hammer_on.jpg	n_basket_hammer_in.jpg	8	6	7	9	1093049	1095065	1096082	1096618	1098631	1103236	4600
210	4	1	1	72	69	FBI	in	f_foodbox_napkinwhite_in.jpg	f_foodbox_napkinwhite_left.jpg	f_foodbox_napkinwhite_front.jpg	f_foodbox_napkinwhite_behind.jpg	6	7	9	8	1103479	1105495	1106511	1107044	1109060	1114492	5426
210	4	1	1	68	70	FBI	behind	f_tray_bottleopener_behind.jpg	f_tray_bottleopener_front.jpg	f_tray_bottleopener_left.jpg	f_tray_bottleopener_on.jpg	8	9	6	7	1114742	1116758	1117774	1118307	1120323	1126048	5720
210	4	1	1	47	71	FC	on	f_cookingpot_umbrella1red_on.jpg	f_cookingpot_umbrella1red_left.jpg	f_cookingpot_umbrella1red_right.jpg	f_cookingpot_umbrella1red_behind.jpg	6	7	9	8	1126304	1128320	1129337	1129870	1131886	1136434	4544
210	4	1	1	22	72	EN	left	n_bowl_whisker1metal_left.jpg	n_bowl_whisker1metal_front.jpg	n_bowl_whisker1metal_in.jpg	n_bowl_whisker1metal_on.jpg	8	7	9	6	1136684	1138700	1139716	1140249	1142265	1147685	5416
210	4	1	1	45	73	FC	front	f_pan_cookingbrush_front.jpg	f_pan_cookingbrush_left.jpg	f_pan_cookingbrush_right.jpg	f_pan_cookingbrush_in.jpg	9	8	7	6	1147930	1149946	1150962	1151496	1153512	1158667	5151
